type,eventType,eventDetailType,startDate,coordX,coordY,roadName,roadNo,lanesBlockType,lanesBlocked,message,endDate
국도,공사,시설물보수작업,2023-08-24,127.84028,36.17713,국도4호선,4,,,,
국도,공사,시설물보수작업,2023-08-25,126.59746,36.8821,국도32호선,32,,2 차로,,
국도,공사,시설물보수작업,2023-09-13,127.61373,36.80167,국도36호선,36,,2 차로,,
국도,공사,시설물보수작업,2023-09-06,127.13406,34.77925,국도2호선,2,,1 차로,,
국도,공사,시설물보수작업,2023-09-14,127.60907,36.79405,국도34호선,34,,2 차로,,
국도,공사,시설물보수작업,2023-09-06,128.746,37.98898,국도7호선,7,,,,
국도,재난,낙석,2023-09-16,128.19955,38.05458,국도31호선,31,,,,
국도,공사,시설물보수작업,2023-10-11,127.04612,35.8821,국도1호선,1,,,,
국도,기타돌발,지정체,2023-10-20,126.911,36.88283,국도34호선,34,,,,
국도,기타돌발,지정체,2023-10-09,128.52019,37.89082,국도56호선,56,,,,
국도,공사,시설물보수작업,2023-10-10,127.56007,34.88146,국도17호선,17,,,,
국도,공사,시설물보수작업,2023-10-06,126.54785,35.08052,국도24호선,24,,1 차로,,
국도,공사,시설물보수작업,2023-10-12,128.61137,37.75831,국도6호선,6,,,,
국도,공사,시설물보수작업,2023-10-20,128.47657,37.62685,국도6호선,6,,1 차로,,
국도,기타돌발,지정체,2023-10-20,127.45566,36.7387,국도17호선,17,,,,
국도,공사,시설물보수작업,2023-10-06,126.97273,35.04849,국도22호선,22,,2 차로,,
국도,공사,시설물보수작업,2023-10-20,127.67688,36.2201,국도4호선,4,,1 차로,,
국도,공사,시설물보수작업,2023-10-17,128.34541,36.97797,국도5호선,5,,2 차로,,
국도,공사,시설물보수작업,2023-10-18,126.96059,35.08379,국도29호선,29,,,,
국도,공사,시설물보수작업,2023-10-18,128.37131,37.18703,국도38호선,38,,,,
국도,공사,시설물보수작업,2023-10-10,126.95491,35.07927,국도22호선,22,,,,
국도,공사,시설물보수작업,2023-10-17,128.17714,36.93501,국도36호선,36,,,,
국도,공사,시설물보수작업,2023-10-18,126.88938,35.89796,국도21호선,21,,,,
국도,재난,낙석,2023-07-27,127.70539,36.54739,국도19호선,19,,2 차로,,
국도,공사,시설물보수작업,2023-08-15,126.78678,36.34031,국도29호선,29,,1 차로,,
기타,공사,,2023-09-15,126.886743,37.528524,,,,,<공사> 서부간선지하도로 일직 성산 2차로 <공사> 서부간선 지하도로 보수공사 / 장소 : 서부간선 지하도로 성산행 / 부분통제 유지보수 서울청,20231214000000
기타,공사,,2023-09-02,126.88503,37.466944,,,,,<공사> 서부간선도로 서부간선요금소 금천교 1차로 [공사] 서부간선지하도로 내 전광판 사고분 처리/장소: 서부간선지하도로 (금천)/통제: 부분통제 도로공사 서울청,20231231000000
기타,공사,,2023-09-04,126.88972,37.539064,,,,,"<공사> 서부간선도로 성산대교남단 금천IC 2차로 [공사]서부간선도로 2공구 하자보수공사 / 장소:서부간선도로 지하차도 성산, 일직방향/ 부분통제 도로공사 서울청",20231031000000
시군도,공사,,2023-09-01,126.903256,37.536049,노들로,0,,,<공사> 노들로 당산역앞 양화대교남측 1차로 [공사]당산역 도시고속도로 환승정류장 신설공사/장소:당산동 94-6/부분통제 도로공사 서울청,20231231000000
기타,공사,,2023-10-04,126.889691,37.539186,,,,,<공사> 서부간선도로 한신자동차 목동교앞 1차로 [공사]서부간선지하도로 터널형 방음벽 지붕투명판 교체공사/ 장소: 서부간선지하도로 일직방향 진입로 터널형 방음벽120m/ 부분통제 유지보수 서울청,20231201000000
시군도,공사,,2023-10-04,126.987026,37.547549,녹사평대로,0,,,<공사> 녹사평대로 남산3호터널 중구용산구 1차로 [공사]레이더 기반 사고감지기술 남산2.3호터널 3-Mix 설비 제작구매설치/장소 : 3호터널 양방향 (1개차로)/부분통제 도로공사 서울청,20231130000000
기타,공사,,2023-10-04,126.889544,37.539474,,,,,<공사> 양평로 한신자동차 목동교앞 1차로 [공사]서부간선지하도로 터널형 방음벽 지붕투명판 교체공사/ 장소: 서부간선지하도로 일직방향 진입로 터널형 방음벽120m/ 부분통제 유지보수 서울청,20231201000000
시군도,공사,,2023-10-16,126.857249,37.528866,국회대로,0,,,<공사> 신월여의지하도로 경인2지하차도서측 목동지하차도서측 1차로 [공사]신월여의자하도로 정기안전점검 용역/장소 : 신월여의지하도로 양방향/부분통제 유지보수 서울청,20231115000000
시군도,공사,,2023-10-16,126.856818,37.529118,국회대로,0,,,<공사> 신월여의자하차도 곰달래아파트 화곡동9468 1차로 [공사]신월여의자하도로 정기안전점검 용역/장소 : 신월여의지하도로 양방향/부분통제 유지보수 서울청,20231115000000
국도,공사,,2023-09-30,126.954676,37.571151,성산로,48,,,<공사> 성산로 독립문고가차도 금화터널 1차로 <공사>금화터널 진입차단시설 제작 설치/장소:성산로 금화터널 입구부 50m 전방지점/부분통제 유지보수 서울청,20231130000000
시군도,공사,,2023-10-04,126.908506,37.485223,신사로,0,,,<공사> 신사로 신림현대아파트앞교차 구로디지털단지역앞교차로 2차로 /<공사> 신안산선 3-2공구 구로디지털단지역 수직구 가시설 공사 / 장소 : 신사로 신대방역→시흥대로 방면 / 1개차로 일시 폐쇄 (430m) 도로공사 서울청,20231231000000
시군도,공사,,2023-10-13,126.95947,37.518336,양녕로,0,,,"<공사> 양녕로 한강대교남단 북단 1,2차로 /<공사> 2023년 한강대교 보수(포장)공사 (주말공사) / 장소 : 한강대교 노들섬~강변북로 진입램프 전 (남→북) / 부분통제 재포장 서울청",20231130000000
기타,공사,,2023-10-04,127.052606,37.656742,,,,,<공사> 동부간선도로 도봉지하차도 하나로클럽마트 1차로 [공사]동부간선도로 도봉지하차도 하자보수공사/장소:동부간선도로 도봉지하차도/부분통제 유지보수 서울청,20231031000000
기타,공사,,2023-10-04,127.053621,37.649678,,,,,<공사> 동부간선도로 하나로클럽마트 도봉지하차도 1차로 [공사]도봉지하차도 자동사고감지시스템설치/장소:동부간선도로 도봉지하차도 내부/ 부분통제 유지보수 서울청,20231103000000
국도,공사,,2023-10-11,127.021029,37.460281,양재대로,47,,,<공사> 양재대로 선암교차로입구 선암로IC 1차로 <공사> 2023년 관내 도로시설물 유지보수공사 / 장소: 우면동 773~782 서초보금자리지하차도 / 통제: 부분통제 유지보수 서울청,20231111000000
시군도,공사,,2023-08-24,126.835229,37.5254,국회대로,0,,,<공사> 국회대로 국회대로9   양방향 전체차로 <공사> 국회대로 지하화 및 상부공원화(1~4단계) 건설공사 중 차로변경 공사 /장소: 신월IC~화곡고가사거리 /부분통제 도로공사 서울청,20240131000000
기타,공사,,2023-08-29,126.883431,37.526868,,,,,<공사> 서부간선도로 서부간선요금소 선유도디와이파크 1차로 [공사] 서부간선 지하차도 내 시설물 유지관리 및 점검/ 장소: 금천영업소~ 성산대교남단/ 부분통제 유지보수 서울청,20231129000000
기타,공사,,2023-08-29,126.882899,37.527016,,,,,<공사> 서부간선도로 한신자동차 서부간선요금소 1차로 [공사] 서부간선 지하차도 내 시설물 유지관리 및 점검/ 장소: 금천영업소~ 성산대교남단/ 부분통제 유지보수 서울청,20231129000000
시군도,공사,,2023-08-01,126.844538,37.505492,남부순환로,0,,,<공사> 남부순환로 서울매봉초등학교 개봉1동사거리 3차로 <공사>남부순환로 평탄호작업/장소:서울매봉초등학교~개봉1동사거리/양방향1개차로씩 부분통제(23.7.31 10:00부터 고척로21길~25길 사이  작은굴다리 전면폐쇄) 도로공사 서울청,20241231000000
국도,공사,,2023-10-05,126.887286,37.545666,노들로,6,,,"<공사> 일반국도6호선 성산대교남측 성산대교남측 1,2,3차로 [공사] 성산대교분교성능개선공사/ 장소: 성산대교아래 올림픽대로 양방향/ 통제: 부분통제 도로공사 서울청",20231031000000
지방도,공사,,2023-10-19,127.088663,37.490694,양재대로,23,,,<공사> 양재대로 일원1동주민센터앞교 수서IC 5차로 [공사]2023년 자동차전용도로 노면표시공사 /장소 : 양재대로 수서방향 일원1동주민센터앞교차로~수서IC교 시점 외 3개소 /부분통제 도로공사 서울청,20231031000000
시군도,공사,,2023-10-19,127.041834,37.504334,언주로,0,,,<공사> 언주로 영동전화국 삼부오피스빌딩 1차로 [공사] 교통안전시설물 설치공사 / 장소 : 언주로517 KT 강남플라자 앞 / 부분통제 유지보수 서울청,20231031000000
시군도,공사,,2023-10-07,127.109844,37.496231,양재대로,0,,,"<공사> 양재대로 가락지하차도동측 가락시장입구교차로 3차로 [공사]2023년 포장도로 맨홀평탄성 개선공사/장소:양재대로 921,(송파구 관내 54개소)/부분통제 유지보수 서울청",20231022000000
시군도,공사,,2023-10-07,127.110008,37.496276,양재대로,0,,,"<공사> 양재대로 가락지하차도동측 가락시장입구교차로 1차로 [공사]2023년 포장도로 맨홀평탄성 개선공사/장소:양재대로 921,(송파구 관내 54개소)/부분통제 유지보수 서울청",20231022000000
기타,공사,,2023-08-25,126.891496,37.535108,,,,,<공사> 서부간선지하도로 성산 일직 양방향 전체차로 <공사> 서부간선지하도로 터널벽면 도장보수작업 / 장소: 서부간선지하도로 양방향 / 부분통제 도로공사 서울청,20231025000000
시군도,공사,,2023-09-25,127.094594,37.535911,강변역로,0,,,<공사> 강변역로 테크노마트 구의공원 3차로 <공사>자양동 넥스트커넥트피에프 전력신규공급/장소:구의동546-3번지 일대/부분통제 도로공사 서울청,20231031000000
